,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
419,0.238,0.932,4,-5.809,1,0.0912,0.00326,0.298,0.114,0.186,150.899,audio_features,6KR9NaynH8bF9w727wKQBL,spotify:track:6KR9NaynH8bF9w727wKQBL,https://api.spotify.com/v1/tracks/6KR9NaynH8bF9w727wKQBL,https://api.spotify.com/v1/audio-analysis/6KR9NaynH8bF9w727wKQBL,363267,4
420,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,audio_features,4kLLWz7srcuLKA7Et40PQR,spotify:track:4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR,289133,4
421,0.721,0.719,4,-8.12,1,0.0389,0.405,0.0,0.0842,0.817,95.057,audio_features,1uK7U9LJlSdz8Lm5eRn9EM,spotify:track:1uK7U9LJlSdz8Lm5eRn9EM,https://api.spotify.com/v1/tracks/1uK7U9LJlSdz8Lm5eRn9EM,https://api.spotify.com/v1/audio-analysis/1uK7U9LJlSdz8Lm5eRn9EM,182360,4
422,0.578,0.587,5,-6.734,1,0.0818,0.598,0.0,0.0965,0.911,157.43,audio_features,5zehWQawGaIIGcw4fuEVe9,spotify:track:5zehWQawGaIIGcw4fuEVe9,https://api.spotify.com/v1/tracks/5zehWQawGaIIGcw4fuEVe9,https://api.spotify.com/v1/audio-analysis/5zehWQawGaIIGcw4fuEVe9,173013,4
423,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,audio_features,0HPD5WQqrq7wPWR7P7Dw1i,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693,4
424,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,6I9VzXrHxO9rA9A5euc8Ak,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4
425,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,audio_features,1mXuMM6zjPgjL4asbBsgnt,spotify:track:1mXuMM6zjPgjL4asbBsgnt,https://api.spotify.com/v1/tracks/1mXuMM6zjPgjL4asbBsgnt,https://api.spotify.com/v1/audio-analysis/1mXuMM6zjPgjL4asbBsgnt,227893,4
426,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,245040,4
427,0.676,0.447,8,-8.207,1,0.0294,0.848,0.0,0.119,0.512,115.187,audio_features,5xo6EfJOJhQGHIHv2RBIpB,spotify:track:5xo6EfJOJhQGHIHv2RBIpB,https://api.spotify.com/v1/tracks/5xo6EfJOJhQGHIHv2RBIpB,https://api.spotify.com/v1/audio-analysis/5xo6EfJOJhQGHIHv2RBIpB,125387,4
428,0.291,0.359,10,-11.527,1,0.0329,0.902,0.855,0.437,0.572,80.95,audio_features,6Mbq0faRWVZ4S6a0K7AciA,spotify:track:6Mbq0faRWVZ4S6a0K7AciA,https://api.spotify.com/v1/tracks/6Mbq0faRWVZ4S6a0K7AciA,https://api.spotify.com/v1/audio-analysis/6Mbq0faRWVZ4S6a0K7AciA,71220,4
429,0.569,0.672,4,-9.721,0,0.0756,0.000804,1.46e-05,0.0902,0.483,109.925,audio_features,6rECwxmHDJEJEkPfLHlGac,spotify:track:6rECwxmHDJEJEkPfLHlGac,https://api.spotify.com/v1/tracks/6rECwxmHDJEJEkPfLHlGac,https://api.spotify.com/v1/audio-analysis/6rECwxmHDJEJEkPfLHlGac,178920,3
430,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,4gcD056im8FrahECIaTV70,spotify:track:4gcD056im8FrahECIaTV70,https://api.spotify.com/v1/tracks/4gcD056im8FrahECIaTV70,https://api.spotify.com/v1/audio-analysis/4gcD056im8FrahECIaTV70,202735,4
